Player,Team,G,GS,Min,Poss,%Tm,PTS,FGM,FGA,FGPct,3PM,3PA,P3Pct,FTM,FTA,FTPct,Tot,Def,Off,AST,PF,TO,BLK,STL,Elig,Position,Jersey,ESPN_ID
Aidan Kehoe,NAVY,34,34,33.6,11.0,16.40%,15.2,6.5,8.9,73.10%,0.0,0.0,0.00%,2.3,4.8,47.00%,10.9,7.1,3.8,2.4,1.4,1.8,1.2,1.2,SR,C,99,5105698
Kasen Jennings,APP,32,32,32.7,12.7,19.10%,15.2,5.1,12.9,39.80%,1.8,5.6,32.40%,3.1,4.1,76.90%,4.3,3.4,0.9,2.1,2.3,1.6,0.1,1.0,SR,G,13,4700841
Lateef Patrick,SFA,34,34,28.5,12.4,18.00%,15.2,5.1,13.0,38.90%,2.1,6.3,33.80%,2.9,3.6,81.30%,3.1,2.2,1.0,1.7,2.5,1.4,0.1,1.4,JR,G,11,5314591
Dontrez Williams,LIND,29,27,32.0,14.3,19.00%,15.2,5.7,12.7,45.00%,0.9,3.2,29.30%,2.8,5.0,56.30%,5.1,3.9,1.2,2.0,2.6,2.7,0.8,2.6,UNK,,,
Quel'Ron House,SIU,30,28,30.1,13.7,19.00%,15.2,6.1,13.1,46.60%,0.5,1.8,25.50%,2.5,3.3,75.00%,3.4,2.8,0.7,3.3,2.0,2.3,0.1,1.7,SO,G,2,5242121
K.J. Younger,UNCG,34,34,28.5,11.8,16.50%,15.1,5.0,11.2,44.70%,1.8,5.4,34.10%,3.3,4.7,71.10%,4.7,3.5,1.2,1.2,2.1,1.2,0.2,0.9,FR,G,21,5314574
"Kowacie Reeves, Jr.",GT,29,29,30.3,11.5,15.50%,15.1,5.4,11.8,45.60%,2.1,5.3,38.70%,2.3,3.0,77.90%,3.8,3.0,0.8,1.2,2.4,1.4,0.7,0.9,SR,F,14,4683757
Flash Burton,RIDER,29,29,32.1,13.9,20.50%,15.1,5.2,13.5,38.50%,1.6,5.2,29.60%,3.2,4.0,79.30%,3.2,2.6,0.6,2.9,1.7,2.2,0.2,1.3,UNK,,,
Javan Simmons,OHIO,31,31,26.3,12.5,17.20%,15.1,5.3,9.8,53.60%,0.2,1.0,20.00%,4.4,6.5,68.50%,5.6,3.1,2.6,1.6,2.9,1.7,0.8,0.6,JR,F,1,5108006
Jaden Zimmerman,QU,26,25,32.4,14.1,19.70%,15.1,4.8,13.1,37.10%,1.8,5.8,31.10%,3.6,5.4,67.10%,2.5,2.0,0.5,2.3,2.7,2.3,0.5,0.7,UNK,,,
"Jamie Phillips, Jr.",STET,18,17,28.9,13.0,18.20%,15.1,5.2,11.4,45.60%,1.4,4.2,34.70%,3.2,4.7,69.00%,5.3,4.3,1.0,2.6,1.9,1.9,0.2,0.4,SO,G,0,5240016
