Player,Team,G,GS,Min,Poss,%Tm,PTS,FGM,FGA,FGPct,3PM,3PA,P3Pct,FTM,FTA,FTPct,Tot,Def,Off,AST,PF,TO,BLK,STL,Elig,Position,Jersey,ESPN_ID
Jacob Theodosiou,LUM,27,18,23.4,12.1,16.80%,13.1,4.4,9.6,46.10%,1.1,3.6,29.60%,3.2,4.7,67.20%,3.6,3.1,0.6,2.7,1.6,2.5,0.1,1.6,UNK,,,
Zaire Williams,MER,32,32,27.8,9.6,13.20%,13.1,4.5,10.1,44.40%,2.2,6.2,36.00%,1.9,2.3,83.60%,3.3,2.3,1.0,1.5,2.5,1.3,0.1,1.4,SR,G,1,4897951
Reese Dixon-Waters,SDSU,32,32,30.3,10.2,14.20%,13.1,4.4,10.2,42.80%,1.6,4.6,35.60%,2.7,3.1,87.80%,3.6,3.0,0.6,1.3,2.0,1.4,0.1,0.8,SR,G,39,5313927
Blue Cain,UGA,33,33,27.8,9.9,12.90%,13.1,4.7,10.0,46.80%,1.4,4.5,30.00%,2.4,2.6,90.70%,5.1,3.5,1.6,2.6,1.6,1.1,0.2,1.4,JR,G,0,5174661
Josiah Lake,OREST,33,33,34.2,11.6,17.00%,13.1,3.8,8.3,46.20%,1.1,2.9,38.10%,4.2,5.2,82.40%,4.1,3.8,0.3,4.2,1.9,2.3,0.4,1.4,UNK,,,
Justice Shoats,SIENA,35,35,35.6,12.9,19.60%,13.1,5.4,11.6,46.30%,0.4,1.2,34.10%,1.9,2.8,67.70%,2.6,2.4,0.2,4.5,2.0,2.6,0.3,1.4,UNK,,,
Carlos Hart,EMU,18,18,32.2,12.4,17.80%,13.1,4.1,9.9,40.80%,1.1,3.3,31.70%,3.9,5.1,76.10%,5.3,3.8,1.5,2.7,2.3,2.1,0.3,1.3,SR,G,2,5176654
Marcus Tankersley,CHST,30,29,30.6,12.5,18.10%,13.0,5.0,10.9,45.40%,0.2,1.0,23.30%,2.9,4.4,65.60%,3.1,2.7,0.4,2.5,1.5,2.0,0.0,0.7,SR,G,4,5106744
Baba Miller,CIN,31,31,31.9,11.9,16.80%,13.0,4.8,9.0,52.90%,0.3,1.7,19.20%,3.2,4.8,65.80%,10.4,8.0,2.4,3.7,2.3,2.2,1.2,0.7,SR,F,18,5075626
Jordan Burks,UCF,32,32,28.0,9.3,12.80%,13.0,4.4,9.8,45.10%,1.7,4.7,36.00%,2.5,3.2,78.20%,4.8,3.4,1.3,0.6,1.5,0.9,0.5,1.1,JR,F,99,5060684
Peter Bandelj,POLY,32,32,30.8,11.9,15.10%,13.0,3.9,9.5,41.30%,1.8,5.2,34.70%,3.4,4.0,85.20%,4.0,3.0,1.0,3.3,2.0,2.4,0.2,1.3,UNK,,,
Josh Dix,CREI,32,32,32.9,10.5,14.90%,13.0,4.8,10.9,43.60%,2.0,5.9,33.90%,1.5,1.8,86.00%,3.8,3.3,0.5,2.4,1.2,1.2,0.3,0.9,SR,G,4,5105800
Filip Brankovic,UTRGV,32,32,24.0,10.0,14.60%,13.0,5.1,9.7,52.60%,1.1,3.3,33.30%,1.8,2.1,83.60%,4.4,2.9,1.5,1.9,2.3,1.5,0.4,0.4,UNK,,,
Jordan Pope,TEX,34,33,28.8,9.5,13.40%,13.0,4.1,10.3,40.00%,2.3,6.3,37.10%,2.5,2.9,84.00%,2.1,1.6,0.5,1.9,2.1,0.9,0.1,0.4,SR,G,0,5105624
Michael Eley,HAMP,23,10,19.2,8.8,12.70%,13.0,4.6,9.6,47.70%,1.3,4.1,30.90%,2.6,3.0,88.20%,3.4,2.6,0.8,0.7,2.1,0.7,0.2,0.7,SR,G,3,5107807
Will McClendon,UNT,4,0,24.3,9.6,14.20%,13.0,2.8,7.5,36.70%,2.3,5.0,45.00%,5.3,6.3,84.00%,4.0,3.3,0.8,2.5,2.0,1.3,0.3,0.8,SR,G,1,4433275
Grant Newell,WKU,32,25,25.9,10.2,13.80%,13.0,4.0,10.0,39.90%,1.8,5.1,35.80%,3.2,4.2,76.10%,4.5,3.4,1.2,1.0,1.9,1.0,0.5,0.4,SR,F,8,5105587
T.J. Wainwright,PAC,33,33,31.9,9.9,14.70%,13.0,4.4,10.5,41.70%,2.2,5.5,38.80%,2.1,2.3,92.00%,3.8,3.5,0.4,1.4,1.9,1.5,0.0,0.7,SR,G,10,4683947
Kimani Hamilton,UNLV,34,34,29.1,10.8,14.90%,12.9,4.4,9.2,48.40%,1.0,2.8,35.40%,3.1,4.1,73.80%,4.9,2.8,2.1,2.4,3.6,1.6,0.4,1.1,SR,F,2,5105538
Eian Elmer,MIOH,33,33,29.4,9.0,12.10%,12.9,4.2,8.3,50.90%,2.2,4.9,44.70%,2.3,3.0,75.80%,5.9,5.0,0.9,1.2,2.3,1.2,0.7,1.2,UNK,,,
C.J. Gunn,DEP,32,23,26.8,12.1,17.70%,12.9,4.7,11.9,39.50%,1.7,5.3,32.20%,1.8,2.4,73.10%,3.7,2.6,1.1,1.9,2.8,1.9,0.6,1.1,SR,G,11,5105796
Chandler Pigge,HARV,29,29,33.6,12.2,18.50%,12.9,4.9,10.7,46.10%,1.0,3.1,31.50%,2.1,2.8,75.30%,5.1,3.7,1.4,3.3,1.7,2.0,0.3,1.7,SR,G,13,4902967
Robbie Avila,SLU,34,34,26.3,10.0,13.50%,12.9,4.1,8.0,50.90%,1.9,4.4,41.70%,2.9,3.6,80.30%,4.6,3.9,0.6,4.1,1.7,1.8,0.6,0.6,SR,C,21,4917097
Melvin Council Jr.,KAN,33,33,34.8,13.3,19.00%,12.9,5.0,12.6,39.60%,1.1,3.5,31.30%,1.8,2.4,76.90%,4.8,4.1,0.7,5.1,1.5,1.8,0.3,1.1,UNK,,,
Lance Waddles,OMAHA,33,33,29.4,10.4,14.80%,12.9,4.7,10.6,44.60%,2.4,6.2,38.20%,1.1,1.6,67.90%,4.8,4.0,0.8,2.1,1.9,1.4,0.1,0.8,UNK,,,
Justin Menard,MRST,31,30,29.3,11.1,16.30%,12.9,4.5,10.2,44.40%,1.8,5.1,36.30%,2.0,2.2,92.60%,2.9,2.7,0.2,3.8,1.8,2.1,0.1,1.2,SO,G,2,5241491
Cayden Charles,SBU,34,34,33.3,10.8,15.50%,12.9,4.0,9.2,43.90%,0.9,2.6,32.60%,4.0,5.0,79.40%,6.6,5.1,1.5,2.1,2.5,1.5,0.4,1.5,SR,G,24,5311887
Jaidon Lipscomb,CLEV,33,32,27.4,10.0,13.60%,12.9,4.0,8.9,44.90%,2.9,7.0,41.70%,2.0,2.3,85.50%,3.1,2.6,0.4,3.0,2.2,2.0,0.3,1.2,UNK,,,
Giovanni Emejuru,ECU,31,31,32.7,10.8,14.90%,12.9,4.4,7.4,59.10%,0.0,0.0,0.00%,4.1,6.6,62.00%,9.2,5.2,4.0,0.5,2.5,1.8,1.7,0.8,SR,C,7,4896939
Nasir Meyer,WYO,31,23,27.6,10.4,14.90%,12.9,4.5,9.7,46.30%,1.6,4.6,35.20%,2.3,3.0,75.50%,4.9,3.8,1.1,2.4,2.1,1.8,0.1,0.9,FR,G,2,5313752
Timofei Rudovskii,BRY,31,31,31.5,11.6,17.00%,12.9,4.0,9.9,40.80%,2.2,6.0,36.20%,2.6,3.2,83.70%,4.6,3.9,0.8,1.8,2.7,2.5,0.7,1.0,FR,F,99,5313085
Hermann Koffi,STON,32,32,34.4,10.2,14.60%,12.8,4.5,11.1,40.40%,2.4,6.6,37.10%,1.5,1.7,88.70%,2.7,2.4,0.3,1.3,1.5,1.3,0.0,0.5,UNK,,,
Tamario Adley,CMU,31,31,29.0,11.9,16.90%,12.8,4.6,9.8,47.00%,1.1,3.0,35.50%,2.5,3.5,73.10%,4.7,3.0,1.6,3.5,2.6,2.2,0.3,1.5,SR,G,5,5313260
Kiree Huie,EWU,33,32,25.3,11.1,15.40%,12.8,5.2,9.4,54.80%,0.0,0.0,0.00%,2.5,4.3,58.00%,5.2,3.3,1.9,0.8,2.3,2.0,1.3,0.5,SR,F,15,5176321
Viljami Vartiainen,WEB,26,23,30.0,7.8,10.60%,12.8,4.4,9.5,46.30%,2.9,6.9,42.20%,1.1,1.4,78.40%,3.2,3.0,0.2,1.0,2.2,0.7,0.1,0.8,JR,G,8,5175397
Moustapha Thiam,CIN,31,31,27.2,10.2,14.20%,12.8,5.2,9.8,52.50%,0.5,1.7,28.80%,2.0,3.2,63.30%,7.1,5.0,2.2,0.5,2.0,1.4,1.6,0.8,SO,C,52,5149078
Zinou Bedri,COLUM,5,5,24.4,12.5,18.10%,12.8,5.0,9.2,54.30%,0.8,1.8,44.40%,2.0,3.4,58.80%,7.4,6.0,1.4,2.2,2.2,4.2,0.4,0.6,UNK,,,
Peyton Law,USA,10,10,25.5,8.5,12.50%,12.8,5.5,8.5,64.70%,0.0,0.1,0.00%,1.8,2.4,75.00%,6.0,3.5,2.5,1.1,2.5,0.8,0.7,0.5,SR,F,9,5313205
Chas Lewless,WGA,10,10,28.3,11.9,15.90%,12.8,4.2,11.1,37.80%,2.1,6.4,32.80%,2.3,2.6,88.50%,2.9,2.7,0.2,2.9,1.7,2.4,0.1,1.0,FR,G,2,5241000
Alex Huibregtse,BRAD,34,34,31.2,8.9,12.40%,12.8,4.3,9.9,43.90%,3.0,7.0,43.30%,1.1,1.3,84.40%,3.1,2.7,0.4,1.7,1.6,1.0,0.2,0.8,SR,G,3,4702993
Asher Woods,TUL,33,31,30.9,11.8,16.70%,12.8,3.7,9.1,40.50%,0.9,3.5,27.20%,4.5,5.2,85.00%,3.2,2.6,0.6,2.0,1.4,1.8,0.0,1.3,UNK,,,
Pat Curtin,BUCK,27,19,25.1,11.6,16.60%,12.8,4.5,10.7,42.20%,1.2,4.4,26.90%,2.6,3.2,80.20%,4.3,3.2,1.1,1.5,2.4,1.8,0.0,1.4,FR,G,21,5314476
Braden East,LAM,30,28,23.9,10.2,15.00%,12.8,5.1,9.6,53.30%,0.2,0.5,31.30%,2.4,3.3,72.00%,9.1,6.2,2.9,0.7,2.6,1.7,1.0,0.5,SO,F,4,5242573
"Latrell Wrightsell, Jr.",ALA,24,16,26.8,9.5,12.40%,12.8,4.2,10.6,39.80%,2.7,7.6,35.70%,1.6,2.0,81.30%,3.1,2.7,0.4,2.0,2.0,0.8,0.0,1.0,SR,G,3,4702484
Christian Harmon,ARST,32,28,27.5,10.5,13.90%,12.8,3.9,10.1,39.10%,2.6,7.6,34.60%,2.3,2.8,81.80%,3.7,2.4,1.2,2.5,1.4,2.0,0.1,0.9,JR,G,5,5312387
Martel Williams,CBU,32,32,33.2,11.4,16.30%,12.8,4.5,11.4,39.80%,1.1,3.4,33.30%,2.6,3.3,77.40%,4.8,3.4,1.5,1.6,2.2,1.8,0.1,0.8,SR,G,33,4702158
Nate Johnson,KSU,32,32,32.8,11.6,15.40%,12.8,4.3,9.7,44.70%,2.0,4.9,40.50%,2.1,2.5,85.00%,4.9,4.1,0.8,4.6,2.4,2.4,0.3,2.2,SR,G,34,4898278
Tomislav Buljan,UNM,32,32,25.9,11.5,16.00%,12.8,4.8,8.8,54.40%,0.2,0.7,23.80%,3.0,5.0,61.00%,10.4,6.3,4.1,1.5,2.2,1.7,0.6,1.1,FR,F,10,5315585
Owen Dease,VALPO,32,22,27.8,9.7,14.00%,12.8,4.5,9.9,45.10%,1.6,3.9,40.80%,2.2,2.7,82.60%,3.2,2.2,1.1,1.3,2.1,1.3,0.3,0.5,UNK,,,
Shammah Scott,AKR,34,12,26.5,9.3,12.70%,12.7,4.5,10.0,44.90%,2.4,5.6,42.20%,1.4,1.7,78.00%,2.6,2.4,0.2,2.9,0.9,1.1,0.1,0.3,SR,G,1,5106652
Xavier Edmonds,TCU,34,33,23.0,10.2,14.20%,12.7,4.5,7.9,56.90%,0.7,1.6,42.60%,3.1,4.7,64.60%,6.7,3.6,3.0,1.2,3.1,1.9,0.9,1.0,JR,F,24,5311928
Cam'Ron Fletcher,HPU,26,11,21.8,8.8,11.80%,12.7,4.8,9.0,54.10%,1.2,3.3,36.50%,1.8,2.6,71.60%,7.1,5.3,1.7,0.9,1.6,1.1,0.6,1.2,SR,F,11,4432182
Trent Perry,UCLA,33,22,29.6,10.0,14.70%,12.7,3.8,8.4,44.60%,1.4,3.5,41.20%,3.8,4.3,87.40%,2.9,2.2,0.8,2.9,1.7,1.3,0.1,0.9,SO,G,0,5060706
Davian Brown,MTST,21,14,25.0,9.1,13.10%,12.7,4.1,9.0,46.00%,2.5,5.8,43.00%,2.0,2.3,83.70%,3.4,2.5,0.9,1.8,1.6,1.2,0.1,0.7,SR,G,0,5313221
B.J. Edwards,SMU,28,28,33.2,11.2,15.20%,12.7,4.6,9.8,47.30%,1.5,4.0,37.20%,1.9,2.5,77.10%,5.9,4.6,1.3,4.9,1.6,1.9,0.2,2.3,SR,G,0,5105552
Theo Seng,TROY,28,26,28.6,8.9,12.10%,12.7,4.5,8.8,51.40%,0.9,2.9,31.70%,2.7,3.5,76.80%,5.8,4.5,1.3,1.1,1.9,0.9,0.3,0.5,SR,F,33,4897957
Robert Lawson,MORG,30,22,32.8,13.5,18.10%,12.7,4.2,11.5,36.10%,1.3,4.4,29.30%,3.1,3.8,81.40%,3.6,3.2,0.4,4.0,2.5,2.5,0.1,0.7,SR,G,3,5107977
Ice Emery,CLEV,33,1,21.8,10.4,14.20%,12.7,4.0,8.7,46.20%,1.5,4.0,38.20%,3.1,4.0,78.00%,1.2,1.1,0.1,2.0,2.2,2.0,0.2,0.4,UNK,,,
Sam Orme,BELM,29,28,25.7,8.6,12.00%,12.7,5.0,9.0,55.90%,1.7,4.2,39.70%,1.0,1.5,63.60%,5.0,4.0,1.1,1.8,2.8,1.1,0.7,0.9,UNK,,,
David Fuchs,SF,29,19,24.0,11.0,15.90%,12.7,4.1,8.0,51.70%,0.3,1.1,30.30%,4.1,6.3,64.50%,7.8,5.4,2.3,1.4,1.9,1.9,0.3,0.5,JR,F,8,5174624
Zarique Nutter,FORD,3,2,16.3,10.4,15.00%,12.7,4.3,9.7,44.80%,0.0,1.0,0.00%,4.0,5.3,75.00%,5.7,3.0,2.7,1.3,1.7,1.3,0.7,1.0,UNK,,,
Timo George,POR,15,1,19.9,8.8,11.50%,12.7,4.9,7.1,69.80%,0.1,0.7,18.20%,2.7,3.7,71.40%,4.9,2.9,1.9,1.4,2.7,1.7,0.9,0.5,UNK,,,
Budd Clark,SHU,33,33,30.8,12.9,18.90%,12.7,4.7,10.8,43.70%,0.3,1.2,22.00%,2.9,3.9,74.60%,3.0,2.5,0.5,5.0,2.9,2.6,0.0,2.0,UNK,,,
Cameron Wallace,UALR,32,22,28.6,12.0,17.20%,12.7,5.2,10.7,48.80%,0.0,0.6,5.30%,2.2,3.8,57.40%,6.9,3.4,3.5,1.8,2.3,1.7,0.3,1.0,UNK,,,
Jesse Hafemeister,CHSO,32,30,26.2,9.5,12.30%,12.7,4.5,9.7,46.80%,2.3,5.8,39.00%,1.3,2.0,66.70%,5.3,3.7,1.7,1.0,1.8,1.4,0.1,0.5,SR,F,12,5243382
Terrance Jones,MANH,32,12,28.2,10.5,14.80%,12.7,4.2,10.4,40.20%,1.5,4.3,35.50%,2.8,3.0,92.60%,4.6,3.6,1.0,1.8,1.5,1.2,0.1,1.6,UNK,,,
Alex Karaban,UCONN,34,34,33.8,9.3,13.60%,12.6,4.6,9.7,47.40%,1.8,4.6,38.60%,1.7,2.0,83.80%,5.2,3.5,1.7,2.3,2.1,1.1,0.8,0.8,UNK,,,
Javan Buchanan,BSU,31,31,27.9,10.1,14.50%,12.6,3.8,9.1,42.30%,1.0,3.3,31.70%,3.9,4.7,83.60%,5.0,3.2,1.8,1.5,2.2,1.1,0.2,0.6,UNK,,,
Jaxon Kohler,MSU,33,33,27.7,9.1,13.20%,12.6,4.8,9.4,50.80%,1.7,4.2,39.90%,1.5,1.7,85.70%,9.1,6.1,3.0,1.4,1.5,1.4,0.7,0.6,SR,F,0,5105815
Tre Beard,CLEV,30,30,30.9,9.6,13.20%,12.6,3.8,8.9,42.70%,2.8,6.8,41.90%,2.2,2.6,85.70%,3.2,2.4,0.8,3.3,2.1,1.2,0.0,1.0,UNK,,,
Wesley Yates,WASH,27,25,30.5,10.9,15.70%,12.6,4.2,11.4,37.00%,1.9,6.2,31.00%,2.3,2.9,78.20%,3.3,2.4,0.9,1.3,2.1,1.6,0.3,1.5,SO,G,9,4869737
Bryson Dawkins,YSU,32,32,26.8,9.8,13.80%,12.6,5.0,9.7,51.90%,1.0,3.2,30.70%,1.6,2.6,61.40%,4.6,3.5,1.1,1.4,1.4,1.5,0.1,0.7,SR,G,9,5107077
Cardell Bailey,USI,29,7,24.6,11.2,15.50%,12.6,4.7,12.0,38.80%,1.8,5.7,30.90%,1.6,2.2,71.40%,5.0,3.6,1.4,0.7,2.2,1.4,0.2,1.1,UNK,,,
Cole Certa,ND,31,16,26.4,8.9,13.10%,12.6,3.6,9.6,37.70%,2.6,7.0,37.00%,2.8,3.2,88.80%,1.7,1.3,0.4,0.8,1.5,0.7,0.0,0.4,SO,G,5,5144373
Jordan Pyke,UIW,27,25,25.4,9.3,13.50%,12.6,4.7,8.9,52.30%,0.9,2.1,40.40%,2.4,3.4,70.70%,5.1,3.7,1.4,1.6,2.4,1.3,0.4,0.6,JR,F,7,5242568
Jonah Hinton,URI,29,27,32.4,11.3,16.60%,12.6,4.0,11.0,36.10%,2.6,8.2,31.90%,2.0,2.5,81.90%,3.0,2.4,0.5,2.1,1.8,2.0,0.1,0.7,JR,G,5,5239711
Amar Augillard,UWM,31,24,20.8,10.7,15.00%,12.6,4.2,10.6,39.10%,1.8,5.7,32.40%,2.4,2.9,83.30%,2.6,2.0,0.6,1.1,2.0,1.8,0.2,0.8,UNK,,,
Dezayne Mingo,CHAR,33,16,27.8,11.2,16.70%,12.6,4.1,9.5,43.20%,1.7,4.5,36.90%,2.7,3.5,75.90%,3.4,2.7,0.7,4.4,1.9,2.0,0.0,0.9,UNK,,,
Christian King,MTST,28,19,27.3,10.7,15.50%,12.6,4.3,10.6,40.70%,2.0,5.5,36.40%,1.9,2.4,80.60%,4.5,3.6,0.8,1.0,1.5,1.6,0.3,0.9,SO,F,7,5313225
Marcell Mccreary,TXARL,32,30,29.3,10.1,14.50%,12.6,4.1,9.5,42.90%,1.6,4.9,32.30%,2.8,3.3,85.00%,5.0,3.5,1.4,1.6,1.8,1.8,0.2,1.6,UNK,,,
Yoav Berman,QUC,34,29,29.3,11.4,15.70%,12.6,3.9,9.3,42.10%,1.3,4.2,29.90%,3.5,4.4,78.70%,3.9,3.0,0.9,3.7,2.4,1.7,0.4,0.9,UNK,,,
Michael Houge,OAK,27,26,26.6,10.4,14.20%,12.6,5.0,9.4,53.10%,0.1,0.7,22.20%,2.4,3.3,72.20%,5.4,3.6,1.9,0.8,3.0,1.7,0.4,0.8,SR,F,6,5177149
Xavier Abreu,NEU,29,9,21.0,10.2,14.40%,12.6,4.7,10.1,45.90%,0.9,3.2,28.30%,2.3,3.1,75.60%,2.7,1.9,0.8,1.0,1.8,1.1,0.1,0.7,UNK,,,
Adam Tsang Hinton,CORN,28,28,24.6,9.2,12.40%,12.5,4.5,9.3,48.30%,2.0,4.8,41.50%,1.6,2.1,77.60%,3.1,2.1,1.0,1.9,2.3,1.3,0.5,0.8,UNK,,,
Tae Davis,OU,34,34,29.2,11.1,15.70%,12.5,4.7,9.5,50.00%,0.3,1.5,20.00%,2.8,4.1,68.10%,5.7,3.6,2.1,2.2,2.8,1.7,0.2,0.6,SR,F,13,5105594
TK Simpkins,ORE,31,31,32.0,10.6,15.50%,12.5,4.1,9.6,42.60%,1.6,4.5,35.70%,2.7,3.1,86.60%,2.9,2.4,0.5,2.4,1.5,2.1,0.2,0.9,SR,G,5,5174937
Jalen Smith,RICE,31,31,32.6,10.5,14.90%,12.5,4.4,10.6,41.00%,2.6,6.7,38.30%,1.2,1.9,64.40%,2.9,2.0,0.9,2.3,1.4,2.1,0.3,0.9,SR,G,2,4690767
Gabe Warren,HCU,33,33,31.6,10.5,15.50%,12.5,4.2,8.9,47.40%,0.9,2.6,33.70%,3.2,4.4,73.10%,4.5,3.5,1.0,1.5,1.5,1.3,0.3,1.2,UNK,,,
Elijah Price,NEV,35,35,30.0,11.6,16.70%,12.5,3.3,7.6,42.70%,0.3,0.9,33.30%,5.7,7.8,73.30%,8.4,6.0,2.4,1.1,3.1,1.9,1.6,1.3,SO,F,1,5176317
Kam Sanders,AFA,32,32,29.9,13.1,19.10%,12.5,3.9,10.0,38.90%,1.3,3.6,36.00%,3.5,4.8,73.00%,4.2,3.8,0.3,3.8,2.0,2.3,0.1,1.1,UNK,,,
Elijah Tucker,LONG,32,32,26.3,10.7,14.70%,12.5,4.7,8.0,58.80%,0.0,0.1,50.00%,3.1,4.3,71.20%,6.8,3.9,2.9,1.1,3.1,2.7,0.4,0.8,SR,F,77,4684309
Asim Jones,QU,32,32,28.8,11.2,15.60%,12.5,4.6,10.5,44.00%,1.4,3.0,46.40%,1.8,2.4,75.60%,2.4,1.8,0.5,3.9,2.5,2.2,0.2,1.2,UNK,,,
Cooper Campbell,TROY,34,33,33.8,10.6,14.70%,12.5,4.2,9.7,43.50%,2.0,5.1,39.50%,2.0,2.4,83.10%,3.4,2.3,1.1,4.2,1.8,1.9,0.1,1.6,SO,G,3,5240745
Connor Dow,ORU,33,33,31.8,10.4,14.50%,12.5,4.2,10.1,41.60%,2.5,7.3,33.50%,1.6,2.0,81.50%,3.9,3.2,0.8,1.8,1.8,1.9,0.6,1.1,JR,G,5,5101865
Matas Deniusas,UTM,33,33,25.9,10.4,15.10%,12.5,4.1,9.7,42.50%,1.4,4.2,33.60%,2.8,3.8,75.20%,5.2,3.4,1.8,1.5,2.1,1.8,0.8,0.8,FR,F,44,5314377
J.T. Pettigrew,VALPO,33,31,27.7,12.2,17.60%,12.5,3.8,9.9,38.50%,0.7,2.4,28.20%,4.2,5.6,74.60%,6.8,4.3,2.4,1.8,3.0,1.8,0.5,0.9,UNK,,,
Royce Parham,MARQ,31,20,28.2,9.6,13.10%,12.5,4.6,8.8,52.20%,1.1,3.3,33.70%,2.2,3.3,65.00%,4.9,3.0,1.9,0.9,2.0,1.3,0.8,0.7,SO,F,13,5101676
Brandin Cummings,PITT,19,9,26.3,9.8,14.60%,12.5,4.1,9.7,42.40%,1.6,4.8,32.60%,2.7,3.7,71.80%,1.5,1.2,0.4,2.1,2.4,1.2,0.1,0.7,SO,G,3,5060728
Greg Jones,AMER,32,31,30.3,11.4,16.50%,12.5,3.9,9.6,40.40%,0.9,3.5,26.80%,3.8,4.7,80.70%,4.8,3.4,1.4,2.0,2.4,1.5,0.0,1.0,JR,F,23,5176028
Dylan Andrews,BSU,32,32,29.3,11.2,16.00%,12.5,3.6,9.4,38.00%,1.4,4.6,31.30%,3.9,4.4,88.70%,2.5,2.3,0.3,3.1,1.0,2.1,0.1,0.7,UNK,,,
Rob Dockery,LASA,32,24,27.3,11.7,17.00%,12.5,4.1,8.3,49.10%,0.4,1.8,25.00%,3.9,5.1,77.20%,6.1,4.2,2.0,2.3,2.8,2.9,0.3,1.5,UNK,,,
Keanu Dawes,UTAH,32,32,30.7,10.0,14.20%,12.5,4.6,8.5,54.60%,1.0,3.2,31.70%,2.2,3.1,72.40%,8.8,6.8,2.0,2.2,1.7,1.8,0.4,0.5,JR,F,8,5060685
Antonio Munoz,GRAM,28,21,24.8,12.2,17.10%,12.5,4.2,8.9,47.20%,0.0,0.6,5.90%,4.1,6.1,66.30%,3.5,2.5,1.0,2.0,2.4,2.5,0.5,0.7,FR,F,15,5314746
Yaphet Moundi,SJSU,13,11,26.7,10.3,14.70%,12.5,3.9,7.5,52.00%,0.1,0.4,20.00%,4.5,6.2,73.80%,7.6,5.3,2.3,1.4,2.5,1.7,0.5,1.1,SR,F,32,5241493
Armonii Zeigler,BALL,31,29,32.4,13.1,19.10%,12.5,4.2,10.4,40.20%,1.0,3.0,33.00%,3.1,3.9,77.90%,5.1,4.0,1.1,3.3,1.5,2.7,0.3,1.4,JR,G,5,5177148
Kaseem Watson,UTEP,31,28,31.4,11.3,16.30%,12.5,4.1,10.5,38.80%,1.9,4.9,38.20%,2.4,2.9,81.30%,5.0,3.6,1.4,1.5,1.6,1.7,0.3,0.9,JR,F,13,5108719
Malik Thomas,UVA,34,34,22.9,9.8,14.20%,12.4,4.1,9.9,41.20%,1.8,5.2,34.30%,2.5,3.3,75.00%,3.9,3.2,0.7,1.6,2.4,1.5,0.1,0.5,SR,G,1,4683758
Roberts Blums,DAV,32,0,22.3,8.8,13.20%,12.4,4.3,9.3,45.60%,2.4,5.9,40.70%,1.5,2.4,63.60%,3.4,2.8,0.6,1.1,1.5,0.9,0.0,0.6,SO,G,45,5239523
Jalik Dunkley,NICH,30,27,28.5,10.4,14.80%,12.4,4.7,8.4,56.00%,0.4,1.3,34.20%,2.6,5.0,52.00%,6.7,4.1,2.6,1.1,1.9,1.5,0.6,1.0,SO,G,22,5313592
"Donald Hand, Jr.",BC,28,26,30.8,12.8,18.60%,12.4,3.8,11.4,33.00%,1.2,5.2,22.60%,3.8,5.3,71.40%,4.4,3.9,0.6,1.3,1.4,1.7,0.1,0.5,JR,G,13,4683629
Zion Russell,SFU,28,18,29.3,11.3,15.60%,12.4,4.3,10.0,43.00%,1.5,4.0,38.10%,2.3,3.3,69.90%,4.0,3.4,0.6,2.9,3.1,2.0,0.1,1.6,UNK,,,
Lajae Jones,FSU,33,31,28.9,9.8,13.50%,12.4,4.1,9.5,42.50%,1.6,5.0,32.50%,2.7,3.5,76.50%,5.7,4.3,1.4,1.1,2.6,1.0,1.0,1.2,SR,G,10,5108969
Danilo Jovanovich,UWM,17,17,30.2,8.6,12.00%,12.4,5.4,9.1,59.10%,0.4,0.8,53.80%,1.3,1.8,71.00%,6.1,4.0,2.1,2.2,1.8,1.0,0.4,0.9,UNK,,,
Canin Jefferson,UNA,22,18,30.1,11.5,16.60%,12.4,4.0,9.9,40.60%,1.3,4.5,29.00%,3.1,4.1,74.70%,1.8,1.7,0.1,2.6,2.2,2.0,0.1,1.4,JR,G,4,5176200
Isaiah Elohim,FAU,32,32,28.1,9.3,12.80%,12.4,4.5,9.7,46.50%,1.2,3.3,36.80%,2.2,3.3,66.00%,4.2,3.2,0.9,1.1,2.1,0.9,0.3,0.5,SO,G,2,4869767
Achile Spadone,BUCK,33,33,34.8,11.7,16.90%,12.4,4.4,10.7,41.20%,1.3,4.4,29.70%,2.3,2.9,79.20%,6.1,4.8,1.3,1.9,3.2,1.9,0.3,1.8,SR,G,24,5242555
Marcus Wilson,UCD,33,33,26.4,12.0,16.30%,12.4,4.2,9.7,42.80%,1.0,3.1,32.40%,3.1,3.9,78.50%,3.2,2.8,0.5,3.9,2.3,2.2,0.1,1.1,FR,G,2,5241070
Jacob Meyer,UAB,28,25,27.7,10.5,14.10%,12.4,4.7,11.4,40.90%,1.1,3.6,31.40%,1.9,2.4,80.30%,3.8,3.1,0.7,1.1,1.7,1.1,0.1,0.9,JR,G,12,5176795
Asa Thomas,FUR,27,21,27.7,8.5,12.30%,12.4,4.0,9.7,41.40%,2.9,7.5,39.10%,1.4,1.9,74.00%,3.9,3.5,0.4,1.9,1.3,0.6,0.4,0.4,SO,G,3,4895755
Julian Mackey,FIU,30,9,22.7,9.6,12.70%,12.4,4.0,9.3,42.70%,1.8,5.0,36.70%,2.6,3.6,72.90%,2.3,1.9,0.4,1.8,1.2,1.4,0.2,0.9,SR,G,10,4719433
CJ Hardy,CSUB,22,21,28.1,11.1,14.80%,12.4,3.9,8.8,44.60%,1.0,3.1,30.90%,3.6,4.3,83.20%,3.8,3.0,0.7,2.9,2.0,2.4,0.3,1.4,SR,G,0,5241841
